Symbol,cash_ratio,return_to_equity,price_to_book,pe,short_interest_ratio,debt_to_equity,eps,last_price,previous_year_price
OPESW,null,null,null,null,null,null,null,null,null
OPGN,0.3857,-675.0304,7.5511,null,2.185,92.5022,-9.8,1.97,18.47
OPGNW,null,null,null,null,1.013,null,null,null,1.7775
OPHT,13.3205,null,2.9617,0.9842,2.143,0,3.18,2.66,2.87
OPNT,1.6493,null,10.7399,7.8129,0.104,0,3.27,14.86,5.8
OPK,0.3036,-15.5321,1.454,null,15.454,2.1792,-0.55,4.57,6.69
OBAS,1.6252,-2.0023,0.7228,29.0073,3.148,272.0708,-0.22,9.2253,null
OCC,0.2123,-7.1769,0.7434,null,2.202,52.2186,-0.27,3.805,2.5
OPRX,1.4457,-29.9875,7.3996,null,0.01,0,-0.21,10.4,2.7603
OPHC,null,-21.6107,2.223,null,0.554,1082.4895,-0.53,5,3.1001
OPTN,15.8932,null,null,175.9814,8.012,null,-5.63,26.67,null
OPB,null,4.8857,0.9861,19.0386,7.194,42.5145,1.29,29.1,23.15
ORMP,3.8958,-46.1389,6.3945,null,3.157,0,-0.79,7.67,7.34
OSUR,4.7789,13.9427,4.433,50.0811,3.484,0,0.52,17.28,15.29
